file,label,song_path,rel_path,beat_idx,time_sec,heuristic_score,bpm,energy_pre,energy_build,energy_drop,energy_post,energy_delta_build_to_drop,energy_delta_pre_to_drop,onset_pre,onset_build,onset_drop,onset_post,onset_delta_build_to_drop,onset_delta_pre_to_drop,bass_pre,bass_build,bass_drop,bass_post,bass_delta_build_to_drop,bass_delta_pre_to_drop,centroid_pre,centroid_build,centroid_drop,centroid_post,flatness_pre,flatness_build,flatness_drop,flatness_post,energy_drop_peak,onset_drop_peak,bass_drop_peak
drop_labels/class_0/-0t6PZCuXAY_KUČKA_-_Never_Give_Up_On_Loving_You_｜_Dance_Pop_｜_NCS_-_Copyright_Free_Music__cand0021__t9.80__s0.958.npz,0,ncs_dataset/-0t6PZCuXAY/KUČKA - Never Give Up On Loving You ｜ Dance Pop ｜ NCS - Copyright Free Music.mp3,-0t6PZCuXAY/KUČKA - Never Give Up On Loving You ｜ Dance Pop ｜ NCS - Copyright Free Music.mp3,21,9.798820495605469,0.9583242535591125,135.7963409423828,0.11818064207380469,0.15666202679276467,0.2165312021970749,0.20187191069126129,0.05986917540431022,0.0983505601232702,0.937298525463451,1.18806494474411,1.5272767146428425,1.5228896737098694,0.3392117698987325,0.5899781891793915,7.708606719970703,21.194107723236083,26.30653254191081,32.390680122375485,5.112424818674725,18.597925821940105,1920.3605846058238,1769.9507629394532,3123.5445149739585,1856.0659545898438,0.00010894758266679425,0.00010358431721328998,0.0003153271439562862,0.00016394032827520276,0.2206793874502182,1.6065772771835327,29.600305557250977
drop_labels/class_0/-0t6PZCuXAY_KUČKA_-_Never_Give_Up_On_Loving_You_｜_Dance_Pop_｜_NCS_-_Copyright_Free_Music__cand0242__t107.95__s0.842.npz,0,ncs_dataset/-0t6PZCuXAY/KUČKA - Never Give Up On Loving You ｜ Dance Pop ｜ NCS - Copyright Free Music.mp3,-0t6PZCuXAY/KUČKA - Never Give Up On Loving You ｜ Dance Pop ｜ NCS - Copyright Free Music.mp3,242,107.94956970214844,0.8421940207481384,135.7963409423828,0.36427270011468366,0.36051705479621887,0.3799434304237366,0.3528984010219574,0.0194263756275177,0.015670730309052916,1.6587786132639104,1.614011251926422,1.724839210510254,1.6364797234535218,0.11082795858383188,0.0660605972463435,50.78582070090554,49.56503868103027,54.18265279134115,45.867702102661134,4.617614110310875,3.396832090435609,3214.917879971591,3306.5360107421875,3120.763916015625,3368.9006103515626,0.0008654560713859445,0.00082461730344221,0.0008614479059663912,0.0008225856581702828,0.3854737877845764,1.7773420810699463,55.16543960571289
"drop_labels/class_0/-1exs4ZBD4k_Abstrakt,_weloveyouspydee_-_See_The_Sun_｜_Speed_Garage_｜_NCS_-_Copyright_Free_Music__cand0041__t18.51__s0.851.npz",0,"ncs_dataset/-1exs4ZBD4k/Abstrakt, weloveyouspydee - See The Sun ｜ Speed Garage ｜ NCS - Copyright Free Music.mp3","-1exs4ZBD4k/Abstrakt, weloveyouspydee - See The Sun ｜ Speed Garage ｜ NCS - Copyright Free Music.mp3",41,18.506303787231445,0.8509722352027893,137.52706909179688,0.19459125399589539,0.29875693619251253,0.3330698112646739,0.3203385978937149,0.03431287507216135,0.1384785572687785,1.1135162982073696,1.073156750202179,1.095668872197469,1.1563828468322754,0.022512121995289958,-0.017847426009900635,1.4360398921099575,10.414679205417633,14.568792343139648,13.426539611816406,4.154113137722016,13.132752451029692,2389.260409268466,3994.2334716796877,3759.3367513020835,4035.43701171875,0.0003857871739786457,0.0022645202174317093,0.0017307210558404524,0.0022843697923235597,0.3396467864513397,1.1280521154403687,16.26444435119629
"drop_labels/class_0/-1exs4ZBD4k_Abstrakt,_weloveyouspydee_-_See_The_Sun_｜_Speed_Garage_｜_NCS_-_Copyright_Free_Music__cand0167__t72.41__s0.880.npz",0,"ncs_dataset/-1exs4ZBD4k/Abstrakt, weloveyouspydee - See The Sun ｜ Speed Garage ｜ NCS - Copyright Free Music.mp3","-1exs4ZBD4k/Abstrakt, weloveyouspydee - See The Sun ｜ Speed Garage ｜ NCS - Copyright Free Music.mp3",167,72.41143035888672,0.8801892995834351,137.52706909179688,0.4356617141853679,0.41657187044620514,0.4395848611990611,0.4305609256029129,0.023012990752855955,0.003923147013693173,1.3528288494456897,1.2435999274253846,1.5431573788324993,1.5717884421348571,0.29955745140711465,0.19032852938680955,33.351260445334695,24.259608840942384,39.417650858561196,37.531864929199216,15.158042017618811,6.0663904132265,3547.427179509943,4121.186743164062,3328.216796875,3372.1796630859376,0.0011770375845530493,0.0018131408782210202,0.0013403214591865738,0.0013668151223100722,0.4413880407810211,1.664365530014038,40.904335021972656
"drop_labels/class_0/-1exs4ZBD4k_Abstrakt,_weloveyouspydee_-_See_The_Sun_｜_Speed_Garage_｜_NCS_-_Copyright_Free_Music__cand0203__t88.06__s0.893.npz",0,"ncs_dataset/-1exs4ZBD4k/Abstrakt, weloveyouspydee - See The Sun ｜ Speed Garage ｜ NCS - Copyright Free Music.mp3","-1exs4ZBD4k/Abstrakt, weloveyouspydee - See The Sun ｜ Speed Garage ｜ NCS - Copyright Free Music.mp3",203,88.06167602539062,0.8925855159759521,137.52706909179688,0.4274875982241197,0.4333978831768036,0.4598182837168376,0.460404035449028,0.026420400540033973,0.03233068549271789,1.611545367674394,1.4501371264457703,1.4841115872065227,1.4736985564231873,0.03397446076075239,-0.12743378046787135,33.811548406427555,33.56319160461426,38.25687789916992,36.11799850463867,4.693686294555661,4.445329492742367,3613.596768465909,3567.0872314453127,3037.9104817708335,3350.039501953125,0.0015317046252841299,0.001149924291530624,0.0006698825551817814,0.0009240697952918708,0.46069860458374023,1.5066965818405151,39.38373565673828
drop_labels/class_0/-zwRFywD3j4_Cyazon_-_Voyage_｜_Midtempo_Bass_｜_NCS_-_Copyright_Free_Music__cand0275__t151.07__s0.760.npz,0,ncs_dataset/-zwRFywD3j4/Cyazon - Voyage ｜ Midtempo Bass ｜ NCS - Copyright Free Music.mp3,-zwRFywD3j4/Cyazon - Voyage ｜ Midtempo Bass ｜ NCS - Copyright Free Music.mp3,275,151.0690155029297,0.7601128816604614,109.77565002441406,0.37302549318833783,0.36289429366588594,0.3633719285329183,0.3608833909034729,0.00047763486703233937,-0.009653564655419555,1.5926048105413264,1.564603292942047,1.6859705845514934,1.701491367816925,0.12136729160944637,0.09336577401016699,47.27536912397905,45.21695213317871,50.28822580973307,48.53862075805664,5.0712736765543625,3.0128566857540235,3988.2983842329545,4251.117211914063,3560.013916015625,4263.422705078125,0.001592073335566304,0.002183404751121998,0.0013580680048714082,0.001989215728826821,0.3667835593223572,1.7109609842300415,51.32172775268555
drop_labels/class_0/-zwRFywD3j4_Cyazon_-_Voyage_｜_Midtempo_Bass_｜_NCS_-_Copyright_Free_Music__cand0306__t167.97__s0.794.npz,0,ncs_dataset/-zwRFywD3j4/Cyazon - Voyage ｜ Midtempo Bass ｜ NCS - Copyright Free Music.mp3,-zwRFywD3j4/Cyazon - Voyage ｜ Midtempo Bass ｜ NCS - Copyright Free Music.mp3,306,167.97314453125,0.7943243384361267,109.77565002441406,0.35834300788966095,0.3534228980541229,0.36241598924001056,0.36265063285827637,0.008993091185887647,0.004072981350349614,1.751935969699513,1.489030158519745,1.5440228780110676,1.4414812803268433,0.05499271949132267,-0.2079130916884453,46.199040846391156,40.492317581176756,43.585951487223305,42.20656051635742,3.0936339060465485,-2.6130893591678515,3553.2884632457385,4055.2991943359375,3235.6641438802085,3872.5229248046876,0.0016597371908243406,0.002222918893676251,0.001243466162122786,0.0016833593719638885,0.36544424295425415,1.5484707355499268,44.19374084472656
drop_labels/class_0/2-b6CuLWPkI_c8o_-_teamo_｜_Trap_｜_NCS_-_Copyright_Free_Music__cand0035__t19.88__s0.932.npz,0,ncs_dataset/2-b6CuLWPkI/c8o - teamo ｜ Trap ｜ NCS - Copyright Free Music.mp3,2-b6CuLWPkI/c8o - teamo ｜ Trap ｜ NCS - Copyright Free Music.mp3,35,19.87628173828125,0.9320521354675293,114.89995574951172,0.04540993171659383,0.1544162005186081,0.22449624041716257,0.19541506469249725,0.07008003989855446,0.17908630870056874,0.9287053021517667,1.0989768147468566,1.2025246620178223,1.2561283826828002,0.10354784727096566,0.27381935986605555,10.678933880545877,7.01967978477478,13.847587903340658,14.419088363647461,6.827908118565878,3.1686540227947813,2823.8329634232955,4562.8594970703125,4271.430419921875,4207.157250976563,0.0005031079450749199,0.0030297415680252014,0.001994223527920743,0.001970061892643571,0.22831985354423523,1.2611099481582642,17.188013076782227
drop_labels/class_0/2-b6CuLWPkI_c8o_-_teamo_｜_Trap_｜_NCS_-_Copyright_Free_Music__cand0162__t86.13__s0.933.npz,0,ncs_dataset/2-b6CuLWPkI/c8o - teamo ｜ Trap ｜ NCS - Copyright Free Music.mp3,2-b6CuLWPkI/c8o - teamo ｜ Trap ｜ NCS - Copyright Free Music.mp3,162,86.1344223022461,0.9327741861343384,114.89995574951172,0.07078984447500923,0.1375760890543461,0.1841131846110026,0.1716603696346283,0.0465370955566565,0.11332334013599336,0.969704042781483,1.066443258523941,1.1896710395812988,1.219548225402832,0.12322778105735788,0.2199669967998158,2.3522210771387275,6.306244230270385,13.459497451782227,16.461260890960695,7.153253221511841,11.107276374643499,2223.1331898082385,3914.792333984375,3898.0808919270835,3623.4007568359375,0.0002643697252179581,0.0023873841593740506,0.0018296918521324794,0.0016788303968496622,0.18703410029411316,1.1955186128616333,14.947627067565918
drop_labels/class_0/2-b6CuLWPkI_c8o_-_teamo_｜_Trap_｜_NCS_-_Copyright_Free_Music__cand0227__t120.05__s0.881.npz,0,ncs_dataset/2-b6CuLWPkI/c8o - teamo ｜ Trap ｜ NCS - Copyright Free Music.mp3,2-b6CuLWPkI/c8o - teamo ｜ Trap ｜ NCS - Copyright Free Music.mp3,227,120.04716491699219,0.8805391788482666,114.89995574951172,0.35316663167693396,0.381080225110054,0.46381238102912903,0.41438313722610476,0.08273215591907501,0.11064574935219507,1.2806501605293967,1.285263454914093,1.3381232817967732,1.275426208972931,0.052859826882680094,0.05747312126737647,31.71563044461337,32.95324535369873,37.90333684285482,32.451012992858885,4.950091489156087,6.187706398241449,4284.577414772727,3851.79638671875,4105.770751953125,4232.1380615234375,0.0022283150306479497,0.0017514459555968641,0.0017349702926973503,0.0017043598927557468,0.503479540348053,1.3420078754425049,42.2999382019043
